"day","treatment","trial_id","trial_uni_id","pic","time","time2","moran_zscore","label"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",79,270,2.03238773497912,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",80,275,-0.671002213676984,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",81,280,-0.998302481874076,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",82,285,-0.121055351109651,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",83,290,-1.35931258571638,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",84,295,-1.06632895382148,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",85,300,-0.525975128693758,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",86,305,-2.4460369798382,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",87,310,-1.83140407286057,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",88,315,-1.42331810333379,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",89,320,-1.76421594771554,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",90,325,-0.727057404318811,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",91,330,-0.180114017808453,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",92,335,0.540092123744881,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",93,340,-0.00900487231135909,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",94,345,1.10379927838256,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",95,350,0.206563437033658,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",96,355,3.08569403007917,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",97,360,0.953853565767087,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",98,365,-0.726884032702532,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",99,370,-0.998834116431663,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",100,375,-1.17243151901306,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",101,380,-0.820286407019036,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",102,385,0.729408168879657,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",103,390,-0.389052446790291,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",104,395,2.23543872882506,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",105,400,1.18662281618546,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",106,405,1.59226948739003,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",107,410,1.55272405529815,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",108,415,2.15122793009912,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",109,420,1.8859106066603,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",110,425,2.24096559707791,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",111,430,-0.403044285005983,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",112,435,-0.340214065671105,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",113,440,-0.638531034712296,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",114,445,2.49836312076926,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",115,450,4.41959249439282,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",116,455,3.3609663978042,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",117,460,5.32490624349146,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",118,465,7.28211368340792,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",119,470,5.7721874459649,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",120,475,5.74475671555225,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",121,480,3.91578667314706,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",122,485,1.16902329319025,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",123,490,2.71018435685918,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",124,495,2.40611271732509,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",125,500,0.0310952337555405,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",126,505,1.54035534404162,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",127,510,0.186179888432659,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",128,515,-1.58245222361998,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",129,520,3.10897593739503,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",130,525,4.28321267876298,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",131,530,2.92968347881342,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",132,535,0.55710241363888,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",133,540,0.669111997471209,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",134,545,2.40129287119514,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",135,550,-1.57907205308775,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",136,555,-0.288782886110932,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",137,560,0.697102873720565,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",138,565,1.10744267425913,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",139,570,1.67533954695961,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",140,575,1.73314342938566,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",141,580,1.95551671866642,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",1,-120,0.140942148951423,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",2,-115,0.649541018844768,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",3,-110,1.15697927919163,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",4,-105,2.82566197569685,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",5,-100,0.785044540882959,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",6,-95,-0.304057131247931,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",7,-90,-0.511838700863845,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",8,-85,1.21670642259573,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",9,-80,0.86778784101021,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",10,-75,0.336097556118451,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",11,-70,-0.473639413784765,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",12,-65,-0.891135511947181,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",13,-60,-1.35889525207896,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",14,-55,-0.273836853455564,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",15,-50,-1.41642866209501,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",16,-45,-0.905987868582382,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",17,-40,0.840620691706043,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",18,-35,0.720515012789867,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",19,-30,-0.979826391964358,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",20,-25,-0.853300003422821,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",21,-20,0.0818411906666769,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",22,-15,-0.0896869263129189,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",23,-10,-0.763264448438935,"pre"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",24,-5,-0.79984051426012,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",25,0,0.0896461085214325,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",26,5,0.760632025799226,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",27,10,-1.53870250472017,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",28,15,0.0277449983605813,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",29,20,1.1058498950387,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",30,25,1.20249657215166,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",31,30,1.26229407750954,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",32,35,0.877715767608788,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",33,40,-0.2517094697617,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",34,45,0.558683244535286,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",35,50,-0.908381263081486,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",36,55,-0.437438913958996,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",37,60,0.458674607987644,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",38,65,-0.120254298897764,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",39,70,-0.62242502401085,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",40,75,0.875203229285936,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",41,80,0.48930744620472,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",42,85,0.606453389432156,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",43,90,-1.37017184323957,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",44,95,-0.462042385582166,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",45,100,-1.12036296983892,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",46,105,-1.84887486197786,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",47,110,-0.890852613370238,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",48,115,-1.22042365247091,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",49,120,-0.180859515961855,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",50,125,-0.272194590947332,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",51,130,-0.464484199260787,"post"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",52,135,-1.05106116036692,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",53,140,-0.916566280562691,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",54,145,-0.745241270253741,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",55,150,-0.293484885005824,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",56,155,-0.871263881714007,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",57,160,-0.618604805150544,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",58,165,0.545498901432667,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",59,170,-0.788282837974971,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",60,175,-0.893310566775351,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",61,180,-0.272257699091408,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",62,185,-0.588565509909345,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",63,190,0.693827158959337,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",64,195,0.263628007965581,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",65,200,-0.884296257504145,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",66,205,1.35213795057302,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",67,210,0.70024877531088,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",68,215,0.246613472014365,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",69,220,-0.721635560150057,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",70,225,0.0201239645808581,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",71,230,-0.0389345589173373,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",72,235,-0.481389021340815,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",73,240,-0.231816803480488,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",74,245,-0.356589946225869,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",75,250,-0.382552237744619,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",76,255,-0.240560726996431,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",77,260,-0.769768214184951,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",78,265,-0.803340296078459,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",79,270,-0.515204287203344,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",80,275,-0.157674708164002,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",81,280,0.190728671590029,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",82,285,-0.585783855247907,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",83,290,-0.494190544638357,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",84,295,-0.478702935621714,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",85,300,-0.655292579640598,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",86,305,-0.420395000078641,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",87,310,0.0397580325474839,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",88,315,0.446132408385636,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",89,320,-0.42079395961023,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",90,325,-0.428310719876022,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",91,330,-0.488343611357531,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",92,335,-0.960275198773151,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",93,340,-1.29681823703375,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",94,345,-0.930323311938405,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",95,350,-0.437518705865313,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",96,355,0.466348594577937,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",97,360,-0.438960944572042,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",98,365,-0.47774905965071,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",99,370,-0.831814763229568,"last"
"6.10.15","Bf Plastic (med)",1,51,"GOPR0899",100,375,-0.00703865109227511,"last"
