Video name,Date recorded,Time treatment added,Total time,Treatment
GOPR1375,7/16/15,2:05,12:08,Krill odor (high)
GOPR1378,7/16/15,2:05,12:12,Food
GOPR1382,7/17/15,2:05,12:09,Bf Plastic (low)
GOPR1385,7/17/15,2:05,12:08,Krill odor (low)
GOPR1388,7/17/15,2:05,12:08,Clean Plastic (low)
GOPR1391,7/17/15,2:05,13:57,Bf Plastic (med)
GOPR1396,7/17/15,2:05,12:07,Krill odor (med)
GOPR1402,7/17/15,2:05,12:07,SW Control
GOPR1405,7/17/15,2:05,12:06,Bf Plastic (high)
GOPR1411,7/18/15,2:05,12:07,Bf Plastic (low)
GOPR1415,7/18/15,2:05,12:07,Clean Plastic (low)
GOPR1419,7/18/15,2:05,12:07,Krill odor (low)
GOPR1422,7/18/15,2:05,12:15,Clean Plastic (med)
GOPR1425,7/18/15,2:05,12:08,Bf Plastic (high)
GOPR1428,7/18/15,2:05,12:09,Krill odor (high)
GOPR1432,7/18/15,2:05,12:08,SW Control
GOPR1435,7/18/15,2:05,12:11,Food
GOPR1438,7/19/15,2:05,12:08,Krill odor (med)
GOPR1442,7/19/15,2:05,12:08,Clean Plastic (med)
GOPR1445,7/19/15,2:05,12:07,SW Control
GOPR1450,7/19/15,2:05,12:20,Bf Plastic (med)
GOPR1453,7/19/15,2:05,12:08,Bf Plastic (high)
GOPR1456,7/19/15,2:05,12:09,Krill odor (high)
GOPR1460,7/19/15,2:05,12:08,Clean Plastic (high)
GOPR1468,7/20/15,2:05,12:07,Krill odor (low)
GOPR1471,7/20/15,2:05,12:08,Bf Plastic (low)
GOPR1474,7/20/15,2:05,12:08,Bf Plastic (med)
GOPR1477,7/20/15,2:05,12:07,Krill odor (med)
GOPR1480,7/20/15,2:05,12:08,SW Control
GOPR1483,7/20/15,2:05,12:08,Krill odor (high)
GOPR1486,7/20/15,2:05,12:10,Bf Plastic (high)
GOPR1489,7/20/15,2:05,12:12,Food
GOPR1493,7/25/15,2:05,12:09,Clean Plastic (low)
GOPR1497,7/25/15,2:05,12:08,Bf Plastic (low)
GOPR1500,7/25/15,2:05,12:19,SW Control
GOPR1503,7/25/15,2:05,13:22,Krill odor (low)
GOPR1507,7/25/15,2:05,12:19,Bf Plastic (med)
GOPR1511,7/25/15,2:05,12:10,Krill odor (med)
GOPR1514,7/25/15,2:05,12:08,Clean Plastic (med)
GOPR1519,7/26/15,2:05,12:08,SW Control
GOPR1524,7/26/15,2:05,12:08,Krill odor (low)
GOPR1528,7/26/15,2:05,12:07,Bf Plastic (low)
